customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
188,3.7942,24.19,219.6,152.0,3.8003,25.26595744680851,16858.905263157896,1991.186567164179,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
187,3.6605,26.26,361.67,382.0,3.3921,6030.555555555556,17008.0,273.25,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
594,3.4985,13.34,170.25,212.0,4.0302,600.8333333333334,30937.5,685.7142857142857,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
352,3.8073,3.14,213.0,157.0,3.8672,1046.4444444444443,3118.4,0.7086614173228346,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
195,4.3348,16.58,251.67,250.0,3.2531,937.3853211009174,5574.677083333333,2273.333333333333,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0
245,2.6156,37.5,359.17,377.0,2.2206,1911.842105263158,7708.615384615385,404.6106870229008,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
571,3.8201,6.85,195.67,177.0,4.1088,54.8,3077.7272727272725,68.07329842931937,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
98,3.2213,15.03,260.25,322.0,3.5386,84.65346534653466,3529.59375,234.77720207253887,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
770,2.9783,63.89,290.33,269.0,3.4605,672.9262295081967,308.0,1.1038251366120218,,,,,,0,0,0,0,0
762,,,,,,0.0,1923.0666666666664,0.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
829,4.738,41.44,392.0,375.0,2.9367,72034.07522123893,101751.7894736842,1044.9920634920634,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0
303,4.5696,51.68,255.57,69.0,4.4008,315.55023923444975,21680.19230769231,3381.0699300699303,19.4,70.0,33.42,0.33,1.53,0,0,0,0,1
451,3.5876,32.81,178.0,291.0,4.233,180.9701492537313,37366.90909090909,282.5244755244755,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
1204,2.3067,100.0,137.0,175.0,3.1441,671.0144927536232,156133.6,2860.65811965812,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0
111,4.255,6.32,195.67,214.0,4.4921,1743.092105263158,29976.615384615383,1508.68,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
1059,3.9345,55.82,356.29,305.0,4.0501,183.41013824884791,10613.444444444443,253.29496402877697,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
231,2.9701,37.96,70.0,35.0,3.8489,,25095.91787439613,1236.688679245283,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
300,2.6315,60.0,49.75,97.0,2.5411,1435.982142857143,1631.5,17.507462686567163,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0
760,,,,,,0.0,2286.5454545454545,0.0,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0
649,3.8579,34.02,170.25,212.0,4.1435,167.56216216216217,3447.7916666666665,291.5379746835443,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
796,,,,,,0.0,200.0952380952381,0.0,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
812,3.1758,24.06,137.0,113.0,3.2,35485.89743589744,2693.0,78.27777777777777,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
592,3.051,34.57,144.83,142.0,3.0246,3750.0,8524.058823529413,520.5891891891891,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
173,4.3665,82.45,229.0,260.0,4.1771,870.0819672131148,15818.863636363636,50.304545454545455,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
541,3.3822,56.68,72.14,105.0,3.676,,6048.194444444444,362.3853211009175,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
524,2.39,22.15,352.5,428.0,3.0952,,7355.4375,524.5524475524476,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
36,3.9949,68.55,229.0,260.0,3.9836,259.125,4985.619047619048,17.85786802030457,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
1004,2.5772,54.06,193.2,180.0,2.9893,7546.153846153846,39130.60784313725,9092.013636363636,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
161,3.8208,12.25,329.5,346.0,3.0617,2389.5893719806763,41068.769230769234,2944.883116883117,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
1009,3.0138,15.89,170.25,212.0,2.9285,457.7586206896552,6716.28125,358.7551020408163,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
270,2.6113,84.07,14.67,2.0,3.2527,391.869918699187,2613.6666666666665,20.62,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0
1053,4.1879,14.17,170.25,150.0,4.1745,2488.2517482517483,22695.296296296296,878.6632124352332,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
934,4.2546,45.52,195.25,154.0,3.8732,5273.412037037037,62545.07547169811,3540.4921875,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0
1147,3.2824,43.64,239.0,79.0,3.8395,7.236842105263157,450.5,7.462686567164179,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
226,3.6203,25.49,144.83,166.0,3.6014,4931.037037037037,21689.35,3484.0994152046783,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
692,4.7149,46.08,137.0,329.0,4.2505,68229.56216216217,33521.99222797927,6292.4375,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
837,4.1687,42.19,93.75,147.0,4.2287,8403.030303030304,27707.5,6687.565217391304,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
