customer_id,dar_night_tower,tower_id,subward_name,subward_id,ward_name,ward_id,rank,prop_known,kmeans,binary_dv
687,431,431,Mwinjuma,22,Mwananyamala,54,289,0.85106383,2,1
1140,345,345,Idrissa,39,Mzimuni,30,130,0.484042553,4,0
130,332,332,Mtambani,210,Vingunguti,68,329,0.819148936,1,1
984,168,168,Tabata Kisiwani,195,Tabata,87,166,0.888297872,4,0
1211,68,68,Msimbazi,193,Tabata,87,142,0.888297872,4,0
583,508,508,Golani,121,Kimara,20,173,0.914893617,3,0
425,445,445,Salasala,170,Wazo,4,72,0.64893617,5,0
63,390,390,Miembeni,207,Vingunguti,68,313,0.819148936,1,1
154,240,240,Muungano,56,Manzese,42,254,0.984042553,3,1
325,529,529,Ally Hassan Mwinyi,124,Mikocheni,48,11,0.813829787,5,0
239,490,490,Ugombolwa,243,Segerea,9,193,0.882978723,3,0
413,221,221,Yombo,240,Kiwalani,31,302,0.64893617,1,1
472,43,43,Makongo,161,Makongo,7,80,0.829787234,5,0
6,508,508,Golani,121,Kimara,20,173,0.914893617,3,0
1091,209,209,Hananasif,134,Hananasifu,17,69,0.505319149,5,0
1137,464,464,Upendo,139,Saranga,29,388,0.430851064,1,1
1054,509,509,Kivukoni,237,Kivukoni,27,9,0.861702128,5,0
613,490,490,Ugombolwa,243,Segerea,9,193,0.882978723,3,0
558,219,219,Mlalakuwa,162,Makongo,7,168,0.829787234,4,0
377,332,332,Mtambani,210,Vingunguti,68,329,0.819148936,1,1
554,398,398,Mwembe Madafu,173,Ukonga,67,154,0.808510638,4,0
463,364,364,King'ongo,142,Saranga,29,356,0.430851064,1,1
1012,549,549,Nyeburu,267,Majohe,83,397,0.505319149,1,1
657,123,123,Kijitonyama,111,Kijitonyama,55,36,0.89893617,5,0
279,318,318,Kipunguni,213,Kipawa,46,136,0.664893617,4,0
650,346,346,NHC,59,Ubungo,71,32,0.904255319,5,0
330,490,490,Ugombolwa,243,Segerea,9,193,0.882978723,3,0
702,355,355,Darajani,272,Kimanga,41,322,0.760638298,1,1
913,151,151,Jogoo,154,Mbezi Juu,5,55,0.728723404,5,0
648,350,350,Muhalitani,20,Tandale,78,378,0.813829787,1,1
188,115,115,Kimamba,8,Makurumla,90,155,0.430851064,4,0
187,163,163,Kilungule 'A',118,Kimara,20,215,0.914893617,3,0
594,460,460,Sinza 'E',107,Sinza,23,50,0.904255319,5,0
195,234,234,Kwajongo,10,Makurumla,90,250,0.430851064,3,1
98,15,15,Barafu,97,Mburahati,52,203,0.760638298,3,0
